Type,Host,Value,TTL
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
A,@,76.76.21.21,3600
CNAME,www,cname.vercel-dns.com.,3600
